id,item,price,magical_power,quality,in_stock,found_in
102,cloak,502,289.863,10,True,dungeon
103,cloak,453.5,232.238,10,True,dungeon
104,scroll,836.1,408.119,10,True,
105,scroll,1058.4,467.879,6,True,village
106,potion,62.25,118.2545,9,True,dungeon
107,cloak,649,340.844,0,True,
108,amulet,1264,500.975,8,True,city
109,cloak,625,317.012,6,True,village
110,staff,2492,928.47,5,False,city
111,scroll,1036.8,476.07,3,True,dungeon
112,staff,2574,943.661,4,False,city
113,cloak,575.5,332.791,10,False,village
114,cloak,501,248.214,6,False,city
115,amulet,974,425.173,10,True,city
116,staff,2546,957.033,10,True,village
117,staff,2472,898.341,5,True,village
118,amulet,1180,465.085,1,True,city
119,potion,56.85,70.0185,3,True,city
120,scroll,972,444.861,10,False,city
121,staff,2078,800.553,4,True,dungeon
122,cloak,576,283.27,0,True,dungeon
123,amulet,1080,456.163,2,True,
124,amulet,934,363.068,7,True,city
125,potion,54.05,108.9175,8,True,dungeon
126,scroll,1146.6,464.698,9,True,village
127,staff,2298,820.367,6,True,dungeon
128,scroll,1125.9,450.918,4,True,city
129,staff,1868,752.146,8,True,
130,cloak,508.5,254.627,10,True,dungeon
131,amulet,914,396.096,6,True,village
132,cloak,564,263.868,8,True,dungeon
133,cloak,486,220.369,6,True,village
134,potion,53.85,125.9885,3,True,dungeon
135,scroll,905.4,420.295,8,True,village
136,cloak,618,267.301,8,True,dungeon
137,staff,2294,806.425,5,True,village
138,amulet,1163,500.266,4,True,dungeon
139,potion,54.95,162.0795,1,True,village
140,scroll,1165.5,484.787,5,True,
141,potion,50.5,121.249,0,True,dungeon
142,amulet,1205,458.139,7,False,
143,staff,1854,720.37,1,True,dungeon
144,scroll,1057.5,502.936,1,False,
145,staff,2122,804.857,1,True,city
146,staff,2378,866.658,4,True,city
147,cloak,451,227.895,6,True,dungeon
148,cloak,648.5,301.348,9,True,
149,potion,58.4,97.448,1,True,dungeon
150,scroll,1134.9,428.535,3,True,city
151,cloak,535,284.564,5,True,city
152,staff,2558,934.887,7,True,city
153,amulet,1159,480.647,2,False,village
154,amulet,1223,537.834,8,True,dungeon
155,scroll,900.9,437.838,6,True,village
156,cloak,540.5,272.579,0,True,
157,potion,50.6,145.203,10,True,dungeon
158,cloak,522.5,240.384,1,True,dungeon
159,cloak,632,276.453,6,True,dungeon
160,cloak,504,265.511,3,True,village
161,potion,51.6,67.398,1,True,city
162,amulet,1033,444.151,7,False,dungeon
163,scroll,1123.2,501.633,2,True,dungeon
164,amulet,1005,423.057,8,True,dungeon
165,scroll,928.8,416.677,9,False,dungeon
166,scroll,954.9,428.845,10,True,
167,cloak,470,273.919,10,True,
168,staff,2458,921.221,1,True,dungeon
169,staff,2584,959.519,6,True,
170,amulet,949,443.662,3,False,dungeon
171,staff,1912,698.596,4,True,dungeon
172,amulet,943,430.119,5,True,dungeon
173,scroll,819,341.423,4,True,
174,staff,2390,903.24,7,False,city
175,potion,55.3,166.955,8,True,dungeon
176,staff,2086,773.25,4,True,village
177,cloak,566.5,294.407,5,True,dungeon
178,cloak,611,300.709,4,False,city
179,cloak,477.5,254.517,2,True,dungeon
180,amulet,1263,484.002,10,True,city
181,scroll,830.7,344.632,0,True,dungeon
182,staff,2406,862.115,2,True,dungeon
183,cloak,607.5,295.824,10,True,village
184,potion,47.85,82.5775,3,True,
185,staff,2492,871.618,5,False,village
186,cloak,644.5,289.988,3,True,city
187,scroll,1145.7,520.283,10,True,city
188,staff,2596,976.346,8,True,city
189,cloak,465,254.904,2,True,dungeon
190,potion,57.25,193.4055,7,True,dungeon
191,staff,1928,739.9,2,True,dungeon
192,staff,2566,925.184,6,True,dungeon
193,cloak,635,309.267,9,True,city
194,scroll,1001.7,396.837,4,True,
195,potion,56.6,158.973,9,True,village
196,amulet,1215,546.608,10,True,dungeon
197,staff,2012,776.429,5,True,city
198,scroll,966.6,434.77,3,True,dungeon
199,cloak,477.5,255.499,4,True,dungeon
200,scroll,832.5,372.826,4,True,village
201,staff,2302,832.815,8,False,dungeon
202,potion,48.95,115.5765,7,False,
203,potion,60.75,87.6385,7,True,dungeon
204,amulet,1155,483.498,4,True,village
205,scroll,1058.4,410.52,8,False,dungeon
206,scroll,936.9,452.331,7,True,
207,staff,1846,706.649,3,True,village
208,staff,2410,865.289,9,False,village
209,potion,47.15,159.5495,10,True,dungeon
210,staff,2142,884.758,3,False,
211,amulet,1130,483.406,0,True,dungeon
212,scroll,991.8,357.14,5,False,village
213,cloak,491.5,279.505,9,True,
214,scroll,893.7,430.907,2,True,dungeon
215,staff,2204,837.954,5,True,village
216,potion,51.4,175.795,7,True,dungeon
217,scroll,990.9,508.67,3,True,village
218,potion,55.45,126.8655,9,False,dungeon
219,scroll,817.2,351.717,2,True,
220,scroll,1163.7,431.438,3,True,city
221,staff,2444,877.013,10,True,dungeon
222,amulet,1091,407.894,1,True,dungeon
223,potion,45.15,87.8485,1,True,
224,staff,1832,718.351,10,True,dungeon
225,staff,2136,792.454,7,True,dungeon
226,staff,2394,841.651,4,True,dungeon
227,staff,2314,873.27,8,True,city
228,cloak,573,287.918,10,True,
229,potion,46.5,90.712,4,True,dungeon
230,staff,2404,885.831,5,False,
231,cloak,598.5,308.948,0,True,village
232,staff,1808,671.568,3,True,dungeon
233,scroll,898.2,430.751,8,True,village
234,staff,2324,888.187,6,True,
235,staff,2342,825.685,5,True,dungeon
236,amulet,1205,514.715,4,False,dungeon
237,staff,1848,676.033,5,True,dungeon
238,scroll,936.9,399.206,3,False,city
239,potion,49.3,155.661,0,False,
240,cloak,487.5,286.12,3,True,city
241,amulet,963,484.304,7,True,city
242,cloak,564,317.308,9,True,village
243,amulet,1286,508.896,8,False,dungeon
244,scroll,939.6,410.601,0,True,
245,staff,1998,773.352,5,False,
246,amulet,1198,518.765,5,True,dungeon
247,amulet,1206,501.772,5,True,
248,amulet,1298,615.237,9,True,dungeon
249,amulet,1083,458.328,9,True,dungeon
250,cloak,613.5,349.859,7,True,city
251,potion,57.2,109.62,8,True,dungeon
252,amulet,1108,448.797,6,False,city
253,cloak,616,377.788,10,True,dungeon
254,staff,1946,677.218,0,True,dungeon
255,staff,1970,706.99,10,False,
256,amulet,1140,404.371,7,True,dungeon
257,staff,1856,726.981,8,True,dungeon
258,staff,2026,742.334,9,True,dungeon
259,scroll,1081.8,465.03,4,True,dungeon
260,scroll,1086.3,439.385,6,True,city
261,amulet,945,404.331,5,False,village
262,staff,2444,949.382,1,True,dungeon
263,staff,2004,787.888,1,True,dungeon
264,amulet,1093,457.526,3,False,dungeon
265,potion,59.45,89.4705,10,True,dungeon
266,scroll,954.9,432.282,3,True,
267,potion,52.8,120.422,10,True,
268,cloak,517,278.232,3,True,dungeon
269,potion,55.75,143.1775,8,True,village
270,cloak,647,311.325,9,False,city
271,scroll,960.3,406.758,3,True,dungeon
272,cloak,556,286.805,4,True,dungeon
273,staff,2014,758.306,3,True,city
274,staff,2026,757.582,7,False,city
275,amulet,971,408.396,9,True,village
276,potion,64.4,115.343,10,True,dungeon
277,scroll,895.5,348.337,0,True,village
278,potion,53.8,74.343,1,True,village
279,scroll,882,427.631,7,True,city
280,amulet,1035,427.242,3,True,
281,amulet,1171,515.671,3,True,dungeon
282,staff,2436,889.86,0,True,village
283,amulet,1060,442.024,1,False,
284,potion,51.35,114.9245,2,True,dungeon
285,potion,52.9,101.536,4,True,dungeon
286,amulet,1232,507.914,6,True,dungeon
287,scroll,1125,424.747,1,True,dungeon
288,staff,2474,923.378,10,True,
289,scroll,1125.9,485.922,5,True,dungeon
290,cloak,503,253.766,6,True,dungeon
291,potion,48.1,114.025,2,True,dungeon
292,amulet,1122,486.222,7,True,dungeon
293,staff,2190,853.342,6,False,dungeon
294,cloak,472.5,271.675,7,True,village
295,potion,52,141.598,8,False,dungeon
296,staff,2560,966.832,10,False,
297,scroll,1043.1,424.728,10,True,dungeon
298,scroll,828.9,345.486,3,True,
299,cloak,548,254.943,8,True,village
300,staff,2124,772.533,7,True,
301,potion,52.9,99.64,0,True,
302,scroll,1143,486.079,5,False,city
303,scroll,1004.4,416.026,3,True,dungeon
304,cloak,520.5,229.55,5,True,village
305,scroll,952.2,503.584,8,True,dungeon
306,amulet,1029,401.615,6,False,city
307,cloak,615.5,282.725,7,True,city
308,amulet,1022,411.782,4,True,dungeon
309,staff,2380,939.274,4,True,dungeon
310,amulet,1048,402.429,2,True,city
311,potion,47.7,117.207,3,True,dungeon
312,scroll,1153.8,413.004,10,True,village
313,scroll,909.9,396.484,2,True,dungeon
314,amulet,904,357.064,9,False,city
315,staff,2576,988.609,8,True,city
316,amulet,1151,442.531,4,True,dungeon
317,scroll,1167.3,516.453,0,True,village
318,scroll,1040.4,447.002,8,True,dungeon
319,amulet,1098,424.918,10,True,
320,scroll,883.8,357.534,2,True,village
321,staff,2538,932.533,9,True,dungeon
322,cloak,563,257.546,2,False,city
323,cloak,601,249.665,2,False,dungeon
324,scroll,1147.5,496.974,5,True,village
325,staff,2214,859.457,0,True,village
326,cloak,610.5,317.017,9,False,dungeon
327,potion,59.75,133.3975,1,True,dungeon
328,scroll,1168.2,466.879,2,True,dungeon
329,amulet,1022,398.918,10,True,village
330,amulet,952,441.412,3,True,city
331,amulet,947,406.019,4,True,dungeon
332,potion,62.55,189.6965,5,False,dungeon
333,scroll,929.7,383.696,3,False,village
334,scroll,939.6,410.614,6,True,village
335,cloak,649,339.952,2,True,village
336,amulet,1088,440.519,8,True,dungeon
337,amulet,1008,396.491,2,True,city
338,amulet,1092,441.416,4,True,
339,scroll,861.3,403.471,0,True,city
340,amulet,1258,532.432,2,True,
341,staff,2228,851.173,7,True,dungeon
342,staff,2462,925.909,6,True,
343,potion,60.45,178.3745,2,False,city
344,amulet,1025,430.005,9,True,dungeon
345,cloak,456.5,219.703,4,True,dungeon
346,scroll,945,419.769,0,True,
347,potion,55.65,112.3285,7,False,
348,scroll,1060.2,510.356,0,True,city
349,cloak,455,259.494,8,True,dungeon
350,staff,2448,935.565,4,True,village
351,potion,58.55,101.8105,6,True,dungeon
352,amulet,910,458.492,10,False,city
353,amulet,1149,467.089,0,True,city
354,potion,50.85,83.0715,9,True,dungeon
355,amulet,991,388.387,5,True,village
356,scroll,1132.2,492.628,5,False,
357,potion,46.5,113.574,8,True,dungeon
358,scroll,1107,507.462,8,True,dungeon
359,potion,50.7,106.814,10,True,city
360,cloak,511,303.228,7,True,dungeon
361,amulet,1140,536.976,5,True,city
362,amulet,1032,493.596,3,True,village
363,staff,2176,843.813,1,True,village
364,amulet,910,420.127,8,False,dungeon
365,amulet,1001,446.448,8,True,dungeon
366,potion,52.75,123.2245,6,True,
367,scroll,963.9,416.884,7,False,dungeon
368,amulet,1094,437.154,4,True,
369,staff,2062,797.026,2,True,dungeon
370,cloak,455,310.505,6,True,
371,scroll,1102.5,436.771,1,True,dungeon
372,potion,49.6,112.982,8,True,village
373,scroll,1120.5,490.483,7,False,dungeon
374,amulet,994,394.801,5,False,village
375,staff,2068,768.638,10,True,dungeon
376,scroll,1039.5,424.913,4,True,dungeon
377,potion,49.2,87.462,1,False,
378,scroll,1106.1,453.917,9,False,dungeon
379,amulet,976,455.432,1,True,dungeon
380,amulet,999,470.387,5,True,city
381,staff,2340,918.864,2,True,
382,potion,63.8,125.622,5,True,village
383,scroll,963,438.2,0,True,village
384,amulet,949,393.508,4,True,
385,amulet,987,412.743,7,True,dungeon
386,scroll,956.7,371.59,1,True,dungeon
387,scroll,1041.3,377.424,2,False,city
388,cloak,487,262.164,10,True,dungeon
389,cloak,510.5,313.637,6,True,city
390,cloak,572,355.106,4,True,city
391,amulet,965,409.036,7,True,
392,staff,2288,875.124,5,True,
393,amulet,1056,404.605,7,True,
394,potion,50.3,112.024,6,True,city
395,cloak,604.5,266.81,7,False,
396,amulet,1119,474.638,8,False,
397,staff,2008,800.486,10,False,
398,potion,46.5,105.446,6,True,village
399,amulet,1208,476.017,6,True,city
400,cloak,592,251.898,9,True,dungeon
401,potion,50.8,123.591,2,True,
402,potion,64.6,125.158,2,False,dungeon
403,potion,48.75,107.0555,3,True,dungeon
404,staff,2298,851.563,8,False,dungeon
405,amulet,1270,511.295,6,False,dungeon
406,amulet,1130,423.855,2,True,
407,staff,2096,799.174,9,False,
408,staff,2338,878.912,10,True,village
409,scroll,832.5,402.768,7,True,dungeon
410,amulet,905,409.114,5,True,dungeon
411,staff,2272,874.342,8,False,city
412,staff,1876,737.62,4,True,dungeon
413,amulet,1023,463.642,2,True,city
414,potion,52.25,124.1645,6,True,
415,potion,49.45,79.6775,4,False,dungeon
416,cloak,501,283.573,3,False,
417,amulet,1028,432.119,1,True,dungeon
418,staff,2158,839.848,3,True,city
419,cloak,502.5,304.535,10,True,dungeon
420,cloak,611,281.141,7,False,dungeon
421,scroll,1089.9,465.342,7,True,dungeon
422,scroll,930.6,418.601,9,True,dungeon
423,potion,60.4,132.775,2,False,dungeon
424,cloak,578.5,243.877,9,True,
425,amulet,1180,514.207,1,True,city
426,staff,2418,876.833,0,True,village
427,cloak,630.5,298.183,0,True,dungeon
428,potion,53.85,92.2685,0,True,city
429,potion,47.35,165.6915,2,True,dungeon
430,scroll,1089,492.948,8,True,
431,cloak,570.5,281.763,8,True,dungeon
432,scroll,953.1,405.376,4,False,dungeon
433,amulet,1165,487.117,4,True,city
434,staff,2570,976.776,9,True,city
435,scroll,1160.1,426.574,4,True,
436,potion,64.25,93.5505,7,True,dungeon
437,scroll,857.7,407.655,6,True,dungeon
438,cloak,516,312.862,6,True,
439,staff,1984,744.908,4,True,dungeon
440,amulet,1047,364.199,5,True,dungeon
441,staff,2462,901.027,10,True,
442,cloak,566,303.383,10,True,dungeon
443,scroll,1077.3,470.549,2,False,city
444,scroll,1098,446.274,7,True,village
445,amulet,940,397.58,10,False,village
446,cloak,481.5,234.257,2,True,
447,cloak,579.5,294.244,6,False,village
448,scroll,855,400.341,2,False,city
449,staff,1990,796.247,10,True,dungeon
450,cloak,616.5,287.351,1,True,village
451,amulet,1144,501.455,1,False,dungeon
452,potion,64.15,90.7955,2,True,dungeon
453,potion,55.5,139.891,2,False,dungeon
454,staff,2478,862.653,4,True,dungeon
455,cloak,582,259.606,10,True,dungeon
456,amulet,1090,482.516,5,True,dungeon
457,staff,1950,686.088,6,True,village
458,cloak,537.5,190.633,2,True,city
459,potion,64.35,126.2765,3,True,city
460,potion,59.25,101.6015,5,True,city
461,cloak,519,276.563,3,True,dungeon
462,scroll,1020.6,415.098,0,True,
463,scroll,1167.3,441.38,1,True,city
464,potion,46.45,75.2845,1,False,city
465,scroll,1134,468.078,1,True,city
466,staff,2540,930.708,9,True,
467,cloak,541,253.691,7,True,dungeon
468,scroll,965.7,431.485,9,True,dungeon
469,scroll,1030.5,397.754,10,True,dungeon
470,cloak,466,227.787,5,False,city
471,potion,59.1,108.915,0,True,dungeon
472,scroll,870.3,427.877,4,True,village
473,staff,2064,799.203,8,True,village
474,staff,2054,805.24,3,True,dungeon
475,cloak,563,312.129,4,True,dungeon
476,potion,62.55,148.1225,8,True,dungeon
477,staff,2130,825.799,3,True,dungeon
478,amulet,1020,445.151,5,False,village
479,staff,2222,811.077,2,True,
480,potion,49.6,65.331,6,True,
481,potion,62.3,44.2,5,False,
482,staff,2022,775.982,6,True,village
483,potion,60.3,60.811,1,True,dungeon
484,scroll,861.3,342.398,1,True,dungeon
485,amulet,1277,500.789,4,False,dungeon
486,scroll,967.5,419.695,8,True,dungeon
487,cloak,546,324.624,0,True,dungeon
488,amulet,1121,513.603,3,False,village
489,amulet,1247,483.997,5,False,village
490,scroll,921.6,380.926,10,True,city
491,staff,2240,826.297,4,True,village
492,scroll,975.6,424.282,6,True,
493,staff,2568,910.752,7,True,dungeon
494,cloak,457,257.913,2,True,dungeon
495,potion,52.3,118.146,0,False,village
496,amulet,1007,436.779,10,True,
497,staff,2090,840.444,2,True,village
498,cloak,642.5,297.007,6,True,dungeon
499,amulet,1151,493.837,7,False,city
500,staff,2576,987.993,1,True,dungeon
