date,amulet,potion,cloak,staff,scroll
2025-09-03,1539.97,45.73,506.94,2026.66,749.58
2025-09-04,1041.01,44.79,468.95,2116.59,131.27
2025-09-05,416.34,55.16,433.27,2917.35,897.76
2025-09-06,680.65,48.89,479.8,2368.13,1035.95
2025-09-07,894.08,56.08,575.78,2262.2,754.75
2025-09-08,1309.53,49.99,446.98,1614.31,481.53
2025-09-09,1135.26,47.9,556.32,1437.67,752.9
2025-09-10,1143.18,47.38,476.39,1882.45,812.34
2025-09-11,994.37,48.91,543,1799.02,1175.02
2025-09-12,975.74,44.98,572.48,1702.32,772.42
2025-09-13,858.65,50.46,526.47,2722.45,309
2025-09-14,1096.81,47.04,535.08,2339.01,572.1
2025-09-15,993.23,53.03,487.03,2140.57,566.11
2025-09-16,945.93,46.36,418.37,1164.36,475.86
2025-09-17,1046.32,41.44,623.68,2283.04,1030.78
2025-09-18,1009.03,43.18,437.58,2018.2,873.97
2025-09-19,1056.89,54.8,435.13,2636.02,1508.3
2025-09-20,348.68,53.29,580.06,2780.79,623.77
2025-09-21,1117.47,42.36,488.73,2248.98,685.75
2025-09-22,1188.85,49.01,532.05,1559.58,1205.21
2025-09-23,790.23,43.89,516.49,2240.33,803.78
2025-09-24,892.92,51.81,494.66,1859.18,706.97
2025-09-25,1124.4,43.65,510.28,1816.34,611.65
2025-09-26,911.33,50.55,535.39,1682.24,1255.24
2025-09-27,1221.56,52.58,484.59,1843.3,995.58
2025-09-28,820.29,51.34,454.55,2165.81,751.08
2025-09-29,1514.03,49.56,552.36,2716.43,410.09
2025-09-30,1018.91,57.84,499.92,2379.68,833.64
2025-10-01,987.1,53.62,467.03,2015.25,389
2025-10-02,395.89,52,422.92,1906.07,1203.92
2025-10-03,1130.63,51.84,487.45,2303.57,309.94
2025-10-04,908.63,41.05,526.73,2786.38,939.03
2025-10-05,805.6,49.31,426.57,1915.2,841.28
2025-10-06,1209.72,46.47,521.61,2422.13,771.71
2025-10-07,1004.7,42.68,433.27,2251.51,1006.16
2025-10-08,924.77,52.58,465.84,2097.55,667.38
2025-10-09,807.83,50.37,488.53,1435,640.37
2025-10-10,1293.31,41.42,525.41,1493.23,412.68
2025-10-11,576.53,56.34,459.18,2039.46,855.97
2025-10-12,696.97,50.12,478.24,1915.5,728.8
2025-10-13,1215.82,45.05,536.24,1818.61,750.03
2025-10-14,1213.61,46.11,431.84,1828.8,307.09
2025-10-15,1053.86,44.61,517.51,2996.39,75.15
2025-10-16,1349.13,45.1,516.8,1973.4,776.23
2025-10-17,1242.68,54.53,554.56,2783.28,936.64
2025-10-18,1182.44,49.34,443.46,2173.16,531.99
2025-10-19,1021.73,57.53,532.7,1699.27,1065.98
2025-10-20,1085.37,50.38,507.65,2181.01,1345.61
2025-10-21,747.63,54.18,512.09,2124.16,731.37
2025-10-22,736.84,52.37,525.18,1964.19,839.04
2025-10-23,1234.32,43.46,533.06,2187.35,1071.28
2025-10-24,916.07,48.24,511.22,2041.26,934.22
2025-10-25,948.75,62.11,527.53,1652.91,527.7
2025-10-26,805.63,48.16,512.5,2114.14,565.59
2025-10-27,670.29,58.52,573.33,2134.84,227.57
2025-10-28,921.14,49.24,474.23,2450.36,768.08
2025-10-29,923.52,52.85,453.74,2512.25,677.31
2025-10-30,671.28,55.64,419.2,1772.37,1103.83
2025-10-31,904.45,43.91,487.8,2747.89,700.92
2025-11-01,426.98,46.29,589.87,1640.85,1279.22
2025-11-02,826.58,47.06,398.37,1439.15,1048.13
2025-11-03,1187.26,45.13,576.22,2862.86,1205.85
2025-11-04,821.39,51.72,506.84,3209.11,873.11
2025-11-05,864.97,47.71,553.28,1829.09,1019.06
2025-11-06,920.68,46.57,541.23,1458.52,743.73
2025-11-07,1186.73,44.05,461.91,1836.61,663.65
2025-11-08,1073.02,47.95,536.35,2429.8,217.84
2025-11-09,1374.88,49.76,516.97,2395.94,1175.79
2025-11-10,933.14,52.41,433.21,1053.85,765.35
2025-11-11,889.56,52.21,431.47,2070.98,879.51
2025-11-12,1049.07,47.98,539.77,525.06,975.82
2025-11-13,593.29,49.91,511.37,1899.25,862.72
2025-11-14,604.65,57.37,517.07,1782.46,430.88
2025-11-15,1458.05,48.69,458.24,2466.3,520.22
2025-11-16,1532.83,49.08,598.11,2248.96,1044.62
2025-11-17,1206.01,41.43,546.64,994.43,1027.23
2025-11-18,605.75,50.88,477.71,1953.78,610.77
2025-11-19,1034.58,49.37,478.37,1518.7,1181.35
2025-11-20,1296.91,52.2,485.47,2676.01,899.72
2025-11-21,1158.32,55.21,409.85,2448.87,937.65
2025-11-22,639.3,42.62,538.83,1345.79,977.11
2025-11-23,973.84,60.59,456.67,1612.75,1189.92
2025-11-24,1019.94,54.83,534.73,1988.03,778.7
2025-11-25,830.59,52.45,550.99,1959.15,768.53
2025-11-26,647.19,66.33,501.46,1810.44,1031.81
2025-11-27,1042.35,42.01,540.31,1418.55,895.46
2025-11-28,1210.4,57.98,521.15,2389.53,1022.49
2025-11-29,996.61,55.23,620.14,1037.9,1058.7
2025-11-30,1632.98,56.63,429.99,1824.03,864.19
2025-12-01,559.12,47.35,515.43,2122.14,308.12
2025-12-02,768.87,50.25,407.54,2195.65,944.07
2025-12-03,1380.85,53.72,518.86,1713.46,915.51
2025-12-04,874.55,52.36,441.41,2556.24,1158.41
2025-12-05,490.54,50.56,376.47,1769.15,720.29
2025-12-06,1003.13,44.79,548.74,1838.02,996.63
2025-12-07,1140.39,52.11,520.83,1422.76,760.77
2025-12-08,916.49,47.99,445.97,2121.95,1214.74
2025-12-09,1125.31,46.79,522.87,1911.01,218.19
2025-12-10,1021.27,48.13,514.52,2007.48,538.93
2025-12-11,935.47,59.54,511.75,2048.11,524.95
2025-12-12,1300.09,44.65,520.39,2425.54,1010.1
2025-12-13,1213.13,43.23,564.96,2857.91,1316.93
2025-12-14,1178.87,52.66,596.23,2312.38,1076.31
2025-12-15,1087.75,46.93,490.53,2603.32,760.35
2025-12-16,901.5,51.45,431.61,2268.69,1266.35
2025-12-17,1045.63,48.55,480.85,2545.23,810.2
2025-12-18,968.43,49.48,580.53,1715.32,1107.83
2025-12-19,1412.65,53.75,403.5,1322.07,1329.8
2025-12-20,1213.8,46.31,498.39,1869.41,663.5
2025-12-21,1044.63,49.14,427.02,1538.57,392.09
2025-12-22,813.14,50.64,469.13,1966.69,847.57
2025-12-23,1071.42,51.72,452.72,2389.34,855.67
2025-12-24,888.81,44.01,541.68,824.84,721.68
2025-12-25,1152.66,45.4,468.74,2028.43,746.95
2025-12-26,965.44,44.9,561.74,2416.03,1003.99
2025-12-27,1101.93,50.27,487.9,2100.17,1010.02
2025-12-28,1093.33,49.86,424.22,1473.03,1608.08
2025-12-29,742.21,44.7,648.72,971.9,731.69
2025-12-30,802.06,48.99,446.1,1711.04,728.6
2025-12-31,957.94,64.08,503.88,2899.72,829.59
